type,id,name
PROVINCE,66,"Bohol, Central Visayas"
PROVINCE,67,"Cebu, Central Visayas"
PROVINCE,65,"Negros Oriental, Negros Island Region"
PROVINCE,68,"Siquijor, Central Visayas"
PROVINCE,64,"Negros Occidental, Negros Island Region"
PROVINCE,97,"Basilan, Autonomous Region in Muslim Mindanao"
PROVINCE,75,"Zamboanga del Norte, Zamboanga Peninsula"
PROVINCE,77,"Zamboanga Sibugay, Zamboanga Peninsula"
PROVINCE,76,"Zamboanga del Sur, Zamboanga Peninsula"
PROVINCE,81,"Misamis Occidental, Northern Mindanao"
PROVINCE,100,"Sulu, Autonomous Region in Muslim Mindanao"
PROVINCE,59,"Aklan, Western Visayas"
PROVINCE,60,"Antique, Western Visayas"
PROVINCE,61,"Capiz, Western Visayas"
PROVINCE,63,"Iloilo, Western Visayas"
PROVINCE,62,"Guimaras, Western Visayas"
PROVINCE,51,"Palawan, Mimaropa"
PROVINCE,52,"Romblon, Mimaropa"
PROVINCE,53,"Albay, Bicol Region"
PROVINCE,54,"Camarines Norte, Bicol Region"
PROVINCE,55,"Camarines Sur, Bicol Region"
PROVINCE,56,"Catanduanes, Bicol Region"
PROVINCE,57,"Masbate, Bicol Region"
PROVINCE,58,"Sorsogon, Bicol Region"
PROVINCE,21,"Abra, Cordillera Administrative Region"
PROVINCE,31,"Batanes, Cagayan Valley"
PROVINCE,32,"Cagayan, Cagayan Valley"
PROVINCE,22,"Apayao, Cordillera Administrative Region"
PROVINCE,27,"Ilocos Norte, Ilocos Region"
PROVINCE,28,"Ilocos Sur, Ilocos Region"
PROVINCE,36,"Aurora, Central Luzon"
PROVINCE,33,"Isabela, Cagayan Valley"
PROVINCE,24,"Ifugao, Cordillera Administrative Region"
PROVINCE,26,"Mountain Province, Cordillera Administrative Region"
PROVINCE,34,"Nueva Vizcaya, Cagayan Valley"
PROVINCE,35,"Quirino, Cagayan Valley"
PROVINCE,37,"Bataan, Central Luzon"
PROVINCE,41,"Tarlac, Central Luzon"
PROVINCE,39,"Nueva Ecija, Central Luzon"
PROVINCE,40,"Pampanga, Central Luzon"
PROVINCE,23,"Benguet, Cordillera Administrative Region"
PROVINCE,42,"Zambales, Central Luzon"
PROVINCE,29,"La Union, Ilocos Region"
PROVINCE,30,"Pangasinan, Ilocos Region"
PROVINCE,44,"Cavite, Calabarzon"
PROVINCE,43,"Batangas, Calabarzon"
PROVINCE,38,"Bulacan, Central Luzon"
PROVINCE,45,"Laguna, Calabarzon"
PROVINCE,47,"Rizal, Calabarzon"
