location_name,total_registered_voters,percent,total_votes_count,date,location_id
Abra,156968,0.56,137338,2016-05-09 17:15:06,21
Abra,156968,0.56,137338,2016-05-09 18:45:47,21
Abra,156968,2.78,137338,2016-05-09 18:46:30,21
Abra,156968,3.61,137338,2016-05-09 18:47:11,21
Abra,156968,5.56,137338,2016-05-09 18:47:38,21
Abra,156968,11.94,137338,2016-05-09 18:48:07,21
Abra,156968,13.61,137338,2016-05-09 18:48:28,21
Abra,156968,13.89,137338,2016-05-09 18:48:54,21
Abra,156968,13.89,137338,2016-05-09 18:49:15,21
Abra,156968,16.11,137338,2016-05-09 18:49:41,21
Abra,156968,26.94,137338,2016-05-09 18:50:18,21
Abra,156968,33.33,137338,2016-05-09 18:55:40,21
Abra,156968,36.11,137338,2016-05-09 19:06:04,21
Abra,156968,41.67,137338,2016-05-09 19:16:14,21
Abra,156968,45.56,137338,2016-05-09 19:38:16,21
Abra,156968,48.06,137338,2016-05-09 19:46:26,21
Abra,156968,50.00,137338,2016-05-09 19:48:51,21
Abra,156968,51.67,137338,2016-05-09 19:56:38,21
Abra,156968,54.17,137338,2016-05-09 20:08:56,21
Abra,156968,57.22,137338,2016-05-09 20:17:13,21
Abra,156968,58.33,137338,2016-05-09 20:27:07,21
Abra,156968,58.89,137338,2016-05-09 20:40:45,21
Abra,156968,59.17,137338,2016-05-09 20:47:44,21
Abra,156968,59.44,137338,2016-05-09 20:59:07,21
Abra,156968,59.72,137338,2016-05-09 21:07:39,21
Abra,156968,60.28,137338,2016-05-09 21:17:50,21
Abra,156968,60.56,137338,2016-05-09 21:27:52,21
Abra,156968,61.67,137338,2016-05-09 21:37:55,21
Abra,156968,62.22,137338,2016-05-09 21:48:38,21
Abra,156968,62.22,137338,2016-05-09 21:58:53,21
Abra,156968,62.78,137338,2016-05-09 22:08:50,21
Abra,156968,63.89,137338,2016-05-09 22:20:40,21
Abra,156968,65.28,137338,2016-05-09 22:28:46,21
Abra,156968,65.83,137338,2016-05-09 22:38:04,21
Abra,156968,67.22,137338,2016-05-09 22:48:30,21
Abra,156968,69.44,137338,2016-05-09 23:09:12,21
Abra,156968,69.44,137338,2016-05-09 23:30:29,21
Abra,156968,69.72,137338,2016-05-09 23:31:54,21
Abra,156968,69.72,137338,2016-05-09 23:48:02,21
Abra,156968,69.72,137338,2016-05-10 00:12:35,21
Abra,156968,69.72,137338,2016-05-10 00:29:16,21
Abra,156968,70.00,137338,2016-05-10 00:49:34,21
